v_products_options_values_id,v_language_id,v_products_options_values_name
206816,1,"12.25""L x 15.5""W x 23""H"
206817,1,"12.75 Qt"
206818,1,"13 Fl Oz"
206819,1,"13 Lb"
206820,1,"13 Oz"
206821,1,"13 in"
206822,1,"13.2 Lb"
206823,1,"13.2 Oz"
206824,1,"13.3 Oz"
206825,1,"13.4 Oz"
206826,1,"13.5 Lb"
206827,1,"13.5 Oz"
206828,1,"13.6 Fl Oz"
206829,1,"13.6 Oz"
206830,1,"13.8 Oz"
206831,1,"14 Count"
206832,1,"14 Fl Oz"
206833,1,"14 Lb"
206834,1,"14 Oz"
206835,1,"14 in"
206836,1,"14""L x 0.5""W"
206837,1,"14""L x 0.75""W"
206838,1,"14""L x 0.625""W"
206839,1,"14""L x 1""W"
206840,1,"14""L x 18""W"
206841,1,"14""L x 20""W"
206842,1,"14""L x 22""W"
206843,1,"14""L x 28""W"
206844,1,"14.1 Oz"
206845,1,"14.2 Fl Oz"
206846,1,"14.5 Lb"
206847,1,"14.5""L x 6""W x 14.75""H"
206848,1,"14.5""L x 24""W"
206849,1,"14.8""L x 15.1""W x .3""H"
206850,1,"14.33 Lb"
206851,1,"14.37 Fl Oz"
206852,1,"15 Count"
206853,1,"15 Fl Oz"
206854,1,"15 Ft"
206855,1,"15 Lb"
206856,1,"15 Oz"
206857,1,"15 in"
206858,1,"15""L x 8.5""W x 6""H"
206859,1,"15""L x 19""W x 6""H"
206860,1,"15""L x 19""W x 6.5""H"
206861,1,"15""L x 22""W"
206862,1,"15'L x 0.625""W"
206863,1,"15'L x 36""W"
206864,1,"15-30 lbs"
206865,1,"15-40 lbs"
206866,1,"15.1""L x 8""W x 10.2""H"
206867,1,"15.5 Lb"
206868,1,"15.5 in"
206869,1,"15.7""L x 19.7""W"
206870,1,"15.9 Lb"
206871,1,"16 Count"
206872,1,"16 Fl Oz"
206873,1,"16 Lb"
206874,1,"16 Oz"
206875,1,"16 Qt"
206876,1,"16 in"
206877,1,"16""L x 0.5""W"
206878,1,"16""L x 0.75""W"
206879,1,"16""L x 0.625""W"
206880,1,"16""L x 1""W"
206881,1,"16""L x 7""W x 3.25""H"
206882,1,"16""L x 12""W"
206883,1,"16""L x 14""W x 8""H"
206884,1,"16""L x 17""W x 15""H"
206885,1,"16""L x 18""W x 11""H"
206886,1,"16""L x 28""W"
206887,1,"16-40 lbs"
206888,1,"16.3 Lb"
206889,1,"16.5 Lb"
206890,1,"16.5""L x 4""W x 9""H"
206891,1,"16.5""L x 22.5""W"
206892,1,"16.6 Oz"
206893,1,"16.9""L x 10.2""W x 9.8""H"
206894,1,"17 Count"
206895,1,"17 Fl Oz"
206896,1,"17 Lb"
206897,1,"17 Oz"
206898,1,"17 in"
206899,1,"17""L x 1""W"
206900,1,"17""L x 3""W x 20""H"
206901,1,"17""L x 8.5""W x 6""H"
206902,1,"17""L x 10""W"
206903,1,"17""L x 11""W"
206904,1,"17""L x 11""W x 10.5""H"
206905,1,"17""L x 11.25""W x 11.25""H"
206906,1,"17""L x 16.5""W"
206907,1,"17""L x 19""W x 11""H"
206908,1,"17""L x 22""W x 6.5""H"
206909,1,"17""L x 24""W"
206910,1,"17""L x 25""W"
206911,1,"17.3""L x 17.7""W x .3""H"
206912,1,"17.5 Fl Oz"
206913,1,"17.5 Lb"
206914,1,"17.5 Oz"
206915,1,"17.5""L x 11""W"
206916,1,"17.5""L x 11.5""W"
206917,1,"17.5""L x 11.5""W x 1.5""H"
206918,1,"17.5""L x 16""W x 16.1""H"
206919,1,"17.5""L x 30""W"
206920,1,"17.6 Lb"
206921,1,"17.6 Oz"
206922,1,"18 Count"
206923,1,"18 Fl Oz"
206924,1,"18 Gal"
206925,1,"18 Lb"
206926,1,"18 Oz"
206927,1,"18 in"
206928,1,"18""L x 0.75""W"
206929,1,"18""L x 0.625""W"
206930,1,"18""L x 1""W"
206931,1,"18""L x 10.5""W x 11""H"
206932,1,"18""L x 11""W x 11""H"
206933,1,"18""L x 12""W"
206934,1,"18""L x 12""W x 12""H"
206935,1,"18""L x 12""W x 14""H"
206936,1,"18""L x 13""W"
206937,1,"18""L x 14""W"
206938,1,"18""L x 14""W x 7""H"
206939,1,"18""L x 14""W x 11""H"
206940,1,"18""L x 16""W x 15""H"
206941,1,"18""L x 18""W"
206942,1,"18""L x 18""W x 8""H"
206943,1,"18""L x 18""W x 9""H"
206944,1,"18""L x 23""W"
206945,1,"18""L x 25""W x 22""H"
206946,1,"18.1""L x 10.1""W x 10.5""H"
206947,1,"18.5 Lb"
206948,1,"18.5""L x 11.5""W"
206949,1,"18.5""L x 28""W"
206950,1,"18.9""L x 9.4""W x 8""H"
206951,1,"18.9""L x 11""W x 11""H"
206952,1,"18.9""L x 15.75""W x 15.75""H"
206953,1,"18.75""L x 11.25""W"
206954,1,"18.75""L x 11.75""W"
206955,1,"18.75""L x 18.375""W"
206956,1,"19 Count"
206957,1,"19 Lb"
206958,1,"19 Oz"
206959,1,"19 in"
206960,1,"19""L x 10""W x 13""H"
206961,1,"19""L x 11.75""W x 11.5""H"
206962,1,"19""L x 12""W"
206963,1,"19""L x 12""W x 7""H"
206964,1,"19""L x 12.5""W x 12""H"
206965,1,"19""L x 12.7""W x 11.5""H"
206966,1,"19""L x 13""W"
206967,1,"19""L x 15""W"
206968,1,"19""L x 15""W x 17""H"
206969,1,"19""L x 17""W x 9""H"
206970,1,"19""L x 22""W x 17""H"
206971,1,"19""L x 24""W"
206972,1,"19""L x 24""W x 6""H"
206973,1,"19""L x 24""W x 17""H"
206974,1,"19""L x 25""W x 7""H"
206975,1,"19""L x 29.5""W x 14.5""H"
206976,1,"19""L x 30""W x 17""H"
206977,1,"19.3""L x 13.4""W x 13.4""H"
206978,1,"19.5""L x 12.75""W x 10""H"
206979,1,"19.7""L x 19.7""W x 9.1""H"
206980,1,"19.25""L x 12.5""W x 15""H"
206981,1,"20 Count"
206982,1,"20 Fl Oz"
206983,1,"20 Ft"
206984,1,"20 Lb"
206985,1,"20 Lb Bonus Bag"
206986,1,"20 Oz"
206987,1,"20 in"
206988,1,"20""L x 0.75""W"
206989,1,"20""L x 1""W"
206990,1,"20""L x 11.5""W x 12""H"
206991,1,"20""L x 12.25""W x 10.5""H"
206992,1,"20""L x 13""W x 11""H"
206993,1,"20""L x 16""W x 8""H"
206994,1,"20""L x 17""W x 7""H"
206995,1,"20""L x 20""W"
206996,1,"20""L x 25""W"
206997,1,"20""L x 28""W"
206998,1,"20""L x 30""W"
206999,1,"20'L x 0.625""W"
207000,1,"20.2 Fl Oz"
207001,1,"20.3""L x 10.6""W x 10""H"
207002,1,"20.4 Lb"
207003,1,"20.5""L x 25""W x 8""H"
207004,1,"20.33""L x 28""W"
207005,1,"21 Count"
207006,1,"21 Lb"
207007,1,"21 Oz"
207008,1,"21""L x 11""W x 11""H"
207009,1,"21""L x 12""W"
207010,1,"21""L x 12.75""W x 14.5""H"
207011,1,"21""L x 13.5""W"
207012,1,"21""L x 14""W"
207013,1,"21""L x 14.5""W x 14.5""H"
207014,1,"21""L x 15""W x 15""H"
207015,1,"21""L x 17.8""W"
207016,1,"21""L x 21""W"
207017,1,"21""L x 31""W"
207018,1,"21""L x 31""W x 3.5""H"
207019,1,"21.5 Lb"
207020,1,"21.5 in"
207021,1,"21.5""L x 11.5""W x 17""H"
207022,1,"21.7""L x 17.7""W x 9.1""H"
207023,1,"21.7""L x 19.4""W x 7.5""H"
207024,1,"21.875""L x 21.75""W"
207025,1,"22 Count"
207026,1,"22 Fl Oz"
207027,1,"22 Lb"
207028,1,"22 Oz"
207029,1,"22 in"
207030,1,"22""L x 1""W"
207031,1,"22""L x 13""W"
207032,1,"22""L x 13""W x 16""H"
207033,1,"22""L x 14""W"
207034,1,"22""L x 16""W"
207035,1,"22""L x 16""W x 16""H"
207036,1,"22""L x 17""W x 11.5""H"
207037,1,"22""L x 17""W x 17""H"
207038,1,"22""L x 19""W x 10""H"
207039,1,"22""L x 20""W x 16""H"
207040,1,"22""L x 29.5""W x 25.5""H"
